size,run,score,moves,solved
4,0,-20,10,1
4,1,990,10,1
4,2,990,10,1
4,3,-1032,22,1
4,4,982,8,1
4,5,976,14,1
4,6,990,10,1
4,7,990,10,1
4,8,982,8,1
4,9,-26,16,1
5,0,-14,14,1
5,1,982,18,1
5,2,-1046,36,1
5,3,980,20,1
5,4,966,24,1
5,5,-42,32,1
5,6,-30,20,1
5,7,968,22,1
5,8,-24,14,1
5,9,976,24,1
6,0,954,36,1
6,1,962,28,1
6,2,958,32,1
6,3,980,20,1
6,4,-26,16,1
6,5,948,42,1
6,6,972,28,1
6,7,950,40,1
6,8,982,18,1
6,9,-22,22,1
7,0,-1032,22,1
7,1,-78,68,1
7,2,954,46,1
7,3,-48,38,1
7,4,-34,34,1
7,5,-4074,64,1
7,6,944,46,1
7,7,-1090,80,1
7,8,956,34,1
7,9,924,66,1
8,0,-42,32,1
8,1,-1046,36,1
8,2,-80,70,1
8,3,-100,90,1
8,4,938,52,1
8,5,910,80,1
8,6,-6080,70,1
8,7,924,66,1
8,8,954,36,1
8,9,926,74,1
