Experimento;Algoritmo;Heuristica;Tempo(s);Passos
1;A*;Manhattan;0.095339;25
1;IDA*;Manhattan;0.003010;25
1;A*;ForaLugar;97.481943;25
1;IDA*;ForaLugar;0.360374;25
1;IDDFS;Nenhuma;9.051983;25
1;DFS;SemHeuristica;0.152660;31
1;IDS;SemHeuristica;6.878098;25
1;Bidirecional;BFS;0.388009;13
1;BFS;SemHeuristica;237.869860;FALHOU
2;A*;Manhattan;0.004063;20
2;IDA*;Manhattan;0.000585;20
2;A*;ForaLugar;0.246861;20
2;IDA*;ForaLugar;0.014491;20
2;IDDFS;Nenhuma;0.315998;20
2;DFS;SemHeuristica;0.079389;30
2;IDS;SemHeuristica;0.232154;20
2;Bidirecional;BFS;0.011945;10
2;BFS;SemHeuristica;25.826291;20
3;A*;Manhattan;0.008977;22
3;IDA*;Manhattan;0.001154;22
3;A*;ForaLugar;1.593608;22
3;IDA*;ForaLugar;0.035000;22
3;IDDFS;Nenhuma;0.908777;22
3;DFS;SemHeuristica;0.001511;30
3;IDS;SemHeuristica;0.671958;22
3;Bidirecional;BFS;0.025299;11
3;BFS;SemHeuristica;123.613644;22
4;A*;Manhattan;0.357333;26
4;IDA*;Manhattan;0.019408;26
4;A*;ForaLugar;161.534171;26
4;IDA*;ForaLugar;0.420149;26
4;IDDFS;Nenhuma;9.373973;26
4;DFS;SemHeuristica;1.671448;30
4;IDS;SemHeuristica;6.938771;26
4;Bidirecional;BFS;0.208602;13
4;BFS;SemHeuristica;237.725333;FALHOU
5;A*;Manhattan;0.014114;21
5;IDA*;Manhattan;0.001598;21
5;A*;ForaLugar;0.699050;21
5;IDA*;ForaLugar;0.033918;21
5;IDDFS;Nenhuma;0.716749;21
5;DFS;SemHeuristica;0.162536;31
5;IDS;SemHeuristica;0.546649;21
5;Bidirecional;BFS;0.044045;11
5;BFS;SemHeuristica;92.023284;21
6;A*;Manhattan;0.082752;24
6;IDA*;Manhattan;0.009482;24
6;A*;ForaLugar;18.284233;24
6;IDA*;ForaLugar;0.145345;24
6;IDDFS;Nenhuma;2.665256;24
6;DFS;SemHeuristica;0.014583;30
6;IDS;SemHeuristica;1.991897;24
6;Bidirecional;BFS;0.058249;12
6;BFS;SemHeuristica;238.221512;FALHOU
7;A*;Manhattan;0.005623;20
7;IDA*;Manhattan;0.001074;20
7;A*;ForaLugar;0.375391;20
7;IDA*;ForaLugar;0.017952;20
7;IDDFS;Nenhuma;0.327030;20
7;DFS;SemHeuristica;0.036732;30
7;IDS;SemHeuristica;0.251553;20
7;Bidirecional;BFS;0.009059;10
7;BFS;SemHeuristica;24.871671;20
8;A*;Manhattan;0.003028;19
8;IDA*;Manhattan;0.000887;19
8;A*;ForaLugar;0.109671;19
8;IDA*;ForaLugar;0.010846;19
8;IDDFS;Nenhuma;0.283971;19
8;DFS;SemHeuristica;0.252026;31
8;IDS;SemHeuristica;0.218389;19
8;Bidirecional;BFS;0.011352;10
8;BFS;SemHeuristica;19.407564;19
9;A*;Manhattan;0.116459;25
9;IDA*;Manhattan;0.005835;25
9;A*;ForaLugar;81.707240;25
9;IDA*;ForaLugar;0.260567;25
9;IDDFS;Nenhuma;6.359982;25
9;DFS;SemHeuristica;0.868551;31
9;IDS;SemHeuristica;4.804051;25
9;Bidirecional;BFS;0.167682;13
9;BFS;SemHeuristica;241.926097;FALHOU
10;A*;Manhattan;0.002925;21
10;IDA*;Manhattan;0.000652;21
10;A*;ForaLugar;0.325737;21
10;IDA*;ForaLugar;0.032696;21
10;IDDFS;Nenhuma;0.677226;21
10;DFS;SemHeuristica;0.282030;31
10;IDS;SemHeuristica;0.519014;21
10;Bidirecional;BFS;0.020573;11
10;BFS;SemHeuristica;79.914663;21
11;A*;Manhattan;0.250943;26
11;IDA*;Manhattan;0.007909;26
11;A*;ForaLugar;171.420762;26
